id,topic,difficulty,question,A,B,C,D,answer
1,SDLC,1,What best describes SDLC?,UML,Software Development Life Cycle,Software Testing,User interface theme,B
2,SDLC,2,The main purpose of SDLC is to:,"requirements, design, implementation, testing, deployment, maintenance",Software Testing,Version Control,Random guessing,A
3,SDLC,1,Which term is most related to SDLC?,Version Control,Bluetooth protocol,implementation,Sequence Diagram,C
4,SDLC,2,What best describes SDLC?,Bluetooth protocol,System Testing,Integration Testing,Software Development Life Cycle,D
5,SDLC,2,Which term is most related to SDLC?,Use Case Diagram,Unit Testing,design,Version Control,C
6,SDLC,1,The main purpose of SDLC is to:,Unit Testing,Email SMTP,Scrum,"requirements, design, implementation, testing, deployment, maintenance",D
7,SDLC,2,The main purpose of SDLC is to:,Software Maintenance,Software Development Life Cycle,Email SMTP,Bluetooth protocol,B
8,SDLC,2,Which concept belongs to SDLC?,Agile,Cooking recipe,Random guessing,Hardware installation,A
9,SDLC,3,Which concept belongs to SDLC?,Cooking recipe,Scrum,Software Testing,Agile,D
10,SDLC,1,The main purpose of SDLC is to:,Scrum,Hardware installation,Cooking recipe,"requirements, design, implementation, testing, deployment, maintenance",D
11,SDLC,2,Which is NOT related to SDLC?,deployment,Not related,Waterfall,design,B
12,SDLC,2,Which concept belongs to SDLC?,Incremental,Network routing,User interface theme,Database normalization only,A
13,SDLC,1,Which term is most related to SDLC?,Version Control,implementation,Network routing,UML,B
14,SDLC,1,The main purpose of SDLC is to:,User interface theme,"requirements, design, implementation, testing, deployment, maintenance",Network routing,Software Testing,B
15,SDLC,2,Which term is most related to SDLC?,Class Diagram,Software Testing,Cooking recipe,requirements,D
16,SDLC,2,Which term is most related to SDLC?,Random guessing,maintenance,Use Case Diagram,System Testing,B
17,SDLC,2,Which term is most related to SDLC?,deployment,Database normalization only,Unit Testing,Sequence Diagram,A
18,SDLC,3,The main purpose of SDLC is to:,Sequence Diagram,Hardware installation,CPU scheduling,Software Development Life Cycle,D
19,SDLC,2,Which is NOT related to SDLC?,Spiral,Agile,design,Not related,D
20,SDLC,1,What best describes SDLC?,Bluetooth protocol,Software Development Life Cycle,Agile Model,UML,B
21,SDLC,2,The main purpose of SDLC is to:,Database normalization only,Software Development Life Cycle,Agile Model,Bluetooth protocol,B
22,SDLC,2,The main purpose of SDLC is to:,Scrum,Sequence Diagram,Integration Testing,"requirements, design, implementation, testing, deployment, maintenance",D
23,SDLC,1,Which is NOT related to SDLC?,requirements,Not related,maintenance,Spiral,B
24,SDLC,1,What best describes SDLC?,Software Development Life Cycle,Scrum,Random guessing,Class Diagram,A
25,SDLC,2,Which term is most related to SDLC?,Database normalization only,Cooking recipe,Unit Testing,requirements,D
26,SDLC,2,Which term is most related to SDLC?,Agile Model,Database normalization only,Bluetooth protocol,maintenance,D
27,SDLC,2,Which term is most related to SDLC?,implementation,Database normalization only,Class Diagram,Software Testing,A
28,SDLC,1,The main purpose of SDLC is to:,Version Control,Hardware installation,Email SMTP,"requirements, design, implementation, testing, deployment, maintenance",D
29,SDLC,1,Which term is most related to SDLC?,UML,implementation,Integration Testing,System Testing,B
30,SDLC,2,What best describes SDLC?,Bluetooth protocol,Integration Testing,Agile Model,Software Development Life Cycle,D
31,SDLC,3,Which is NOT related to SDLC?,Waterfall,maintenance,Not related,testing,C
32,SDLC,2,What best describes SDLC?,Agile Model,Integration Testing,Bluetooth protocol,Software Development Life Cycle,D
33,SDLC,2,The main purpose of SDLC is to:,Email SMTP,Sequence Diagram,User interface theme,"requirements, design, implementation, testing, deployment, maintenance",D
34,SDLC,1,Which term is most related to SDLC?,Agile Model,Database normalization only,implementation,DNS resolution,C
35,SDLC,2,What best describes SDLC?,Hardware installation,Software Development Life Cycle,Software Maintenance,Scrum,B
36,SDLC,2,The main purpose of SDLC is to:,Software Maintenance,Hardware installation,Unit Testing,"requirements, design, implementation, testing, deployment, maintenance",D
37,SDLC,3,Which is NOT related to SDLC?,implementation,maintenance,Incremental,Not related,D
38,SDLC,2,Which term is most related to SDLC?,User interface theme,Cooking recipe,Software Maintenance,requirements,D
39,SDLC,2,Which term is most related to SDLC?,Class Diagram,Software Testing,DNS resolution,maintenance,D
40,SDLC,1,Which is NOT related to SDLC?,Not related,testing,design,Agile,A
