text,intent
pls hi,greeting
hi!,greeting
hi,greeting
hi?,greeting
please hi,greeting
Hi,greeting
HI,greeting
hello!,greeting
pls hello,greeting
hello,greeting
HELLO,greeting
Hello,greeting
please hello,greeting
hello?,greeting
pls hey,greeting
Hey,greeting
please hey,greeting
HEY,greeting
hey?,greeting
hey!,greeting
hey,greeting
please hii,greeting
HII,greeting
hii!,greeting
hii?,greeting
hii,greeting
pls hii,greeting
Hii,greeting
pls hiii,greeting
please hiii,greeting
hiii,greeting
hiii?,greeting
HIII,greeting
hiii!,greeting
Hiii,greeting
yo?,greeting
pls yo,greeting
please yo,greeting
Yo,greeting
YO,greeting
yo,greeting
yo!,greeting
please hai,greeting
hai?,greeting
HAI,greeting
Hai,greeting
hai!,greeting
pls hai,greeting
hai,greeting
good morning?,greeting
goodmorning,greeting
good morning,greeting
pls good morning,greeting
good morning!,greeting
Good morning,greeting
please good morning,greeting
GOOD MORNING,greeting
good afternoon,greeting
goodafternoon,greeting
good afternoon!,greeting
pls good afternoon,greeting
please good afternoon,greeting
good afternoon?,greeting
Good afternoon,greeting
GOOD AFTERNOON,greeting
good evening?,greeting
pls good evening,greeting
good evening,greeting
GOOD EVENING,greeting
please good evening,greeting
goodevening,greeting
good evening!,greeting
Good evening,greeting
pls whats up,greeting
WHATS UP,greeting
Whats up,greeting
whats up!,greeting
whats up?,greeting
whatsup,greeting
please whats up,greeting
whats up,greeting
what's up?,greeting
WHAT'S UP,greeting
what's up,greeting
What's up,greeting
pls what's up,greeting
what's up!,greeting
please what's up,greeting
what'sup,greeting
sup!,greeting
SUP,greeting
sup,greeting
please sup,greeting
sup?,greeting
Sup,greeting
pls sup,greeting
how are you,greeting
pls how are you,greeting
please how are you,greeting
howareyou,greeting
how are you?,greeting
How are you,greeting
HOW ARE YOU,greeting
how are you!,greeting
pls thanks,thanks
Thanks,thanks
thanks,thanks
please thanks,thanks
thanks?,thanks
THANKS,thanks
thanks!,thanks
please thank you,thanks
Thank you,thanks
thank you?,thanks
thankyou,thanks
thank you!,thanks
pls thank you,thanks
thank you,thanks
THANK YOU,thanks
okthanks,thanks
ok thanks,thanks
OK THANKS,thanks
please ok thanks,thanks
ok thanks!,thanks
Ok thanks,thanks
ok thanks?,thanks
pls ok thanks,thanks
cool thanks!,thanks
cool thanks?,thanks
pls cool thanks,thanks
COOL THANKS,thanks
cool thanks,thanks
Cool thanks,thanks
coolthanks,thanks
please cool thanks,thanks
great thanks,thanks
great thanks?,thanks
please great thanks,thanks
pls great thanks,thanks
great thanks!,thanks
greatthanks,thanks
GREAT THANKS,thanks
Great thanks,thanks
nice?,thanks
Nice,thanks
nice!,thanks
NICE,thanks
nice,thanks
please nice,thanks
pls nice,thanks
Good,thanks
good,thanks
pls good,thanks
good?,thanks
GOOD,thanks
please good,thanks
good!,thanks
awesome?,thanks
Awesome,thanks
please awesome,thanks
pls awesome,thanks
awesome,thanks
awesome!,thanks
AWESOME,thanks
THANK U,thanks
please thank u,thanks
pls thank u,thanks
Thank u,thanks
thank u,thanks
thank u?,thanks
thank u!,thanks
thanku,thanks
ty!,thanks
TY,thanks
ty,thanks
Ty,thanks
please ty,thanks
pls ty,thanks
ty?,thanks
please h,other
H,other
h?,other
h,other
pls h,other
h!,other
HH,other
Hh,other
hh?,other
hh,other
hh!,other
pls hh,other
please hh,other
H.,other
h.?,other
pls h.,other
h.!,other
h.,other
please h.,other
a!,other
a,other
please a,other
A,other
pls a,other
a?,other
x!,other
X,other
please x,other
x?,other
pls x,other
x,other
please ??,other
pls ??,other
??!,other
???,other
??,other
...!,other
...?,other
pls ...,other
...,other
please ...,other
ok?,other
Ok,other
ok!,other
OK,other
please ok,other
ok,other
pls ok,other
k?,other
k!,other
pls k,other
k,other
please k,other
K,other
pls hmm,other
Hmm,other
hmm?,other
please hmm,other
hmm,other
HMM,other
hmm!,other
please hahaha,other
hahaha?,other
hahaha,other
HAHAHA,other
pls hahaha,other
Hahaha,other
hahaha!,other
asdf?,other
Asdf,other
asdf!,other
please asdf,other
pls asdf,other
ASDF,other
asdf,other
random!,other
random,other
Random,other
random?,other
please random,other
RANDOM,other
pls random,other
WHAT,other
pls what,other
what?,other
please what,other
what!,other
what,other
What,other
HELP,other
help!,other
Help,other
help?,other
help,other
pls help,other
please help,other
LOL,other
please lol,other
lol,other
lol?,other
lol!,other
Lol,other
pls lol,other
?,other
?!,other
please ?,other
pls ?,other
pls ??!!,other
??!!!,other
