topic,definition,advantages,disadvantages,real_world_use,example,interview_questions
SDLC,"SDLC is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving sdlc.,A practical project implementing sdlc in a real application.,What is SDLC?;Why is SDLC important?;Explain real-world use of SDLC.
Agile,"Agile is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving agile.,A practical project implementing agile in a real application.,What is Agile?;Why is Agile important?;Explain real-world use of Agile.
Scrum,"Scrum is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving scrum.,A practical project implementing scrum in a real application.,What is Scrum?;Why is Scrum important?;Explain real-world use of Scrum.
Kanban,"Kanban is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving kanban.,A practical project implementing kanban in a real application.,What is Kanban?;Why is Kanban important?;Explain real-world use of Kanban.
Waterfall Model,"Waterfall Model is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving waterfall model.,A practical project implementing waterfall model in a real application.,What is Waterfall Model?;Why is Waterfall Model important?;Explain real-world use of Waterfall Model.
Spiral Model,"Spiral Model is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving spiral model.,A practical project implementing spiral model in a real application.,What is Spiral Model?;Why is Spiral Model important?;Explain real-world use of Spiral Model.
DevOps,"DevOps is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving devops.,A practical project implementing devops in a real application.,What is DevOps?;Why is DevOps important?;Explain real-world use of DevOps.
CI/CD,"CI/CD is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving ci/cd.,A practical project implementing ci/cd in a real application.,What is CI/CD?;Why is CI/CD important?;Explain real-world use of CI/CD.
Microservices,"Microservices is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving microservices.,A practical project implementing microservices in a real application.,What is Microservices?;Why is Microservices important?;Explain real-world use of Microservices.
Monolithic Architecture,"Monolithic Architecture is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving monolithic architecture.,A practical project implementing monolithic architecture in a real application.,What is Monolithic Architecture?;Why is Monolithic Architecture important?;Explain real-world use of Monolithic Architecture.
REST API,"REST API is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving rest api.,A practical project implementing rest api in a real application.,What is REST API?;Why is REST API important?;Explain real-world use of REST API.
GraphQL,"GraphQL is an important concept in computer science and software engineering used to design, build, or manage modern software systems.",Improves efficiency;Widely used in industry;Supports scalable systems,Requires learning curve;Implementation complexity in large systems,Used in modern technology stacks and enterprise applications involving graphql.,A practical project implementing graphql in a real application.,What is GraphQL?;Why is GraphQL important?;Explain real-world use of GraphQL.
