topic,definition,advantages,disadvantages,real_world_use,example,interview_questions
SDLC,"Software Development Life Cycle (SDLC) is a structured process for planning, building, testing, deploying, and maintaining software.",Clear phases and planning; improves quality control; supports documentation and management.,Traditional models can be rigid; can be slow for changing requirements.,Used in enterprise software development to ensure predictable delivery and compliance.,Building a banking system using phases: requirements ? design ? coding ? testing ? deployment.,What are SDLC phases?; Why is SDLC important?; SDLC vs Agile?
Waterfall Model,Waterfall is a linear SDLC model where each phase completes before the next begins.,Simple and easy to manage; strong documentation; good for stable requirements.,Hard to change after a phase; late testing; risks discovered late.,Used in government/regulated projects with fixed requirements.,A payroll system with fixed requirements and formal sign-off each stage.,When is Waterfall suitable?; Waterfall limitations?; Waterfall vs Agile?
Agile Model,Agile is an iterative approach that delivers software in small increments with frequent feedback.,Fast delivery; adapts to change; continuous improvement; better customer collaboration.,Needs active stakeholder involvement; scope can expand; requires mature team discipline.,Used in startups and product teams where requirements evolve quickly.,Developing an app with 2-week sprints delivering working features each sprint.,What are Agile principles?; Agile vs Waterfall?; What is iteration?
Scrum,"Scrum is an Agile framework using sprints, roles, and ceremonies to deliver increments of value.",Clear roles; predictable sprint cycles; strong transparency and feedback.,Needs strong team commitment; can be misused as micromanagement; depends on good backlog.,Used in software product teams delivering features every sprint.,Sprint planning ? daily scrum ? sprint review ? retrospective for an e-commerce feature.,Scrum roles?; What is a sprint?; What is a product backlog?
Kanban,Kanban is a workflow method that visualizes work and limits work-in-progress (WIP) to improve flow.,Improves flow; reduces bottlenecks; flexible priorities; continuous delivery.,Less structured time-boxing; may lack planning if unmanaged.,"Used in support teams, DevOps, and continuous delivery pipelines.",A board with To Do ? Doing (WIP=3) ? Done for bug fixes.,What is WIP limit?; Kanban vs Scrum?; How does Kanban improve flow?
DevOps,DevOps is a culture and set of practices that unifies development and operations to deliver software faster and more reliably.,Faster releases; better reliability; automation; improved collaboration.,Tooling complexity; culture change needed; requires monitoring discipline.,Used in cloud-native systems to automate build/test/deploy and monitoring.,"CI pipeline builds and tests on every commit, CD deploys to staging/production.",What is CI/CD?; DevOps benefits?; DevOps tools?
CI/CD,"CI/CD automates integration, testing, and deployment so changes can be delivered frequently and safely.",Fewer integration issues; faster feedback; reliable releases; automation reduces errors.,Setup cost; requires good tests; pipeline failures can block delivery.,Used in modern development with Git workflows and automated deployment.,GitHub Actions runs tests and deploys to cloud on merge to main.,CI vs CD?; Why automated tests matter?; What is a pipeline?
Requirements Engineering,"Requirements engineering is the process of eliciting, analyzing, documenting, and validating what a system must do.",Reduces misunderstandings; improves planning; helps testing and acceptance.,Stakeholders may be unclear; requirements can change frequently.,Used in all projects to define scope and acceptance criteria.,Writing user stories and acceptance criteria for login feature.,Functional vs non-functional requirements?; What is elicitation?; What is validation?
Functional Requirements,"Functional requirements describe what the system should do (features, behaviors).",Defines clear features; supports test case design.,Can miss quality aspects if only functional is captured.,Used in specification documents and user stories.,�User can reset password via email link.�,Give examples of functional requirements; How to validate them?
Non-Functional Requirements,"Non-functional requirements define quality attributes like performance, security, usability, and reliability.",Ensures quality; prevents late surprises; guides architecture.,Harder to measure; often ignored until late.,Used to set SLAs and design constraints.,�API must respond within 200ms for 95% requests.�,Examples of NFRs?; Why NFRs important?; How to measure performance?
User Stories,"User stories are simple descriptions of features from the user�s perspective, often formatted as: As a <user>, I want <goal>, so that <benefit>.",Easy to understand; supports Agile planning; focuses on user value.,May be too high-level; needs acceptance criteria.,Used in Agile backlogs for feature planning.,"As a customer, I want to track my order so I feel informed.",What is a good user story?; What is acceptance criteria?; INVEST principle?
